Date,AAPL,MSFT,GOOGL,AMZN,TSLA
2019-01-02,37.503719329833984,76.95649719238281,,94.39713287353516,20.674667358398438
2019-01-03,33.768070220947266,75.01399993896484,,90.9244613647461,20.02400016784668
2019-01-04,35.20960998535156,78.76950073242188,,95.15330505371094,21.179332733154297
2019-01-07,35.13124465942383,81.47550201416016,,95.27464294433594,22.33066749572754
2019-01-08,35.80094909667969,82.8290023803711,,95.9654541015625,22.356666564941406
2019-01-09,36.408897399902344,82.97100067138672,,97.33771514892578,22.568666458129883
2019-01-10,36.5252799987793,82.81099700927734,,96.71224975585938,22.99799919128418
2019-01-11,36.166683197021484,82.02799987792969,,95.9654541015625,23.150667190551758
2019-01-14,35.62283706665039,80.8604965209961,,95.26531219482422,22.293333053588867
2019-01-15,36.3519287109375,83.72799682617188,,98.0285415649414,22.961999893188477
2019-01-16,36.796024322509766,84.18900299072266,,98.37394714355469,23.06999969482422
2019-01-17,37.014495849609375,84.66100311279297,,99.06473541259766,23.15399932861328
2019-01-18,37.242496490478516,84.80999755859375,,100.54901123046875,20.150667190551758
2019-01-22,36.40654373168945,81.6084976196289,,98.65398406982422,19.92799949645996
2019-01-23,36.55378341674805,82.0009994506836,,99.6155014038086,19.172666549682617
2019-01-24,36.26405334472656,82.74649810791016,,99.13939666748047,19.43400001525879
2019-01-25,37.46572494506836,83.52850341796875,,100.04491424560547,19.80266761779785
2019-01-28,37.1190071105957,81.89450073242188,,98.09388732910156,19.7586669921875
2019-01-29,36.73427963256836,79.69400024414062,,96.09616088867188,19.83066749572754
2019-01-30,39.24449157714844,83.52149963378906,,99.30743408203125,20.584667205810547
2019-01-31,39.527103424072266,85.9365005493164,,97.48706817626953,20.468000411987305
2019-02-01,39.54610824584961,81.3115005493164,,95.94676971435547,20.81399917602539
2019-02-04,40.669403076171875,81.66549682617188,,98.7099838256836,20.859333038330078
2019-02-05,41.36525344848633,82.94049835205078,,100.09159851074219,21.42333221435547
2019-02-06,41.37948989868164,82.01300048828125,,98.98070526123047,21.148000717163086
2019-02-07,40.595802307128906,80.71849822998047,,98.271240234375,20.500667572021484
2019-02-08,40.64349365234375,79.41100311279297,,98.64462280273438,20.386667251586914
2019-02-11,40.40975570678711,79.55000305175781,,98.25257873535156,20.856000900268555
2019-02-12,40.757972717285156,81.90049743652344,,99.78353881835938,20.78733253479004
2019-02-13,40.5886344909668,82.0,,99.7088623046875,20.544666290283203
2019-02-14,40.73650360107422,81.13249969482422,,99.79288482666016,20.251333236694336
2019-02-15,40.645870208740234,80.39749908447266,,101.02510833740234,20.525333404541016
2019-02-19,40.76750946044922,81.37899780273438,,100.97842407226562,20.375999450683594
