Date,Actual,LSTM_Forecast
2023-10-18,173.8031005859375,179.69909625845258
2023-10-19,173.42750549316406,176.7737413600837
2023-10-20,170.8773956298828,176.09677650499958
2023-10-23,170.99598693847656,173.83710309922955
2023-10-24,171.43089294433594,174.33487561264099
2023-10-25,169.1179962158203,173.88008369571713
2023-10-26,164.95677185058594,173.2867885518684
2023-10-27,166.2713623046875,170.66647467499465
2023-10-30,168.3173828125,169.43589378992866
2023-10-31,168.79183959960938,169.40506291977195
2023-11-01,171.9547576904297,169.28939199562112
2023-11-02,175.51309204101562,169.81896313294826
2023-11-03,174.60369873046875,171.711710763615
2023-11-06,177.15382385253906,173.17217917195939
2023-11-07,179.71385192871094,174.50500936298525
2023-11-08,180.7714385986328,175.7445462904218
2023-11-09,180.2969970703125,175.57264222443885
2023-11-10,184.4834899902344,177.07813461418328
2023-11-13,182.89993286132807,181.03415495777728
2023-11-14,185.5127868652344,182.87795688605283
2023-11-15,186.0769500732422,184.43595629550873
2023-11-16,187.75946044921875,185.09814333410455
2023-11-17,187.7396545410156,187.47907256946598
2023-11-20,189.4815826416016,187.01786382621938
2023-11-21,188.67990112304688,187.96272332335272
2023-11-22,189.343002319336,189.1877223777115
2023-11-24,188.0167999267578,189.3814911343567
2023-11-27,187.8386383056641,189.93641562823117
2023-11-28,188.44235229492188,189.74453996058247
2023-11-29,187.4229431152344,189.84796097068718
2023-11-30,187.9970092773437,188.71339496938074
2023-12-01,189.2737274169922,189.82867431655544
2023-12-04,187.4823608398437,189.8861000318125
2023-12-05,191.43130493164065,189.19914550255635
2023-12-06,190.34263610839844,189.96003328613614
2023-12-07,192.27256774902344,191.041338945488
2023-12-08,193.69776916503903,191.56212099530995
2023-12-11,191.1937866210937,192.76729633383766
2023-12-12,192.70806884765625,191.7557138881909
2023-12-13,195.92466735839844,191.37502260878804
2023-12-14,196.07308959960932,193.11960147844366
2023-12-15,195.53863525390625,193.7817027546437
2023-12-18,193.8759307861328,194.94899718729258
